TFSI,NCN,Ni,Fe,Predictor,Gas
312.7,775.19,518.94,4.1667088607595,No gas,0
312.99,775.8,518.94,4.16658227848102,No gas,0
312.4,775.19,517.87,4.16556962025317,No gas,0
312.79,776.4,519.21,4.16455696202532,No gas,0
312.3,774.59,518.94,4.16481012658228,No gas,0
312.99,775.8,519.48,4.16506329113924,No gas,0
312.5,775.19,518.94,4.16531645569621,No gas,0
313.48,777,519.21,4.16594936708861,No gas,0
312.79,775.19,518.94,4.16658227848102,No gas,0
312.79,776.4,518.67,4.16645569620253,No gas,0
312.3,775.19,517.6,4.16632911392405,No gas,0
312.99,777,519.21,4.16620253164557,No gas,0
312.4,775.19,518.94,4.16607594936709,No gas,0
312.79,777,519.48,4.16594936708861,No gas,0
313.48,774.59,518.94,4.16556962025317,No gas,0
312.79,776.4,518.94,4.16518987341772,No gas,0
312.4,775.19,519.21,4.16518987341772,No gas,0
312.5,776.4,518.94,4.16531645569621,No gas,0
313.68,774.59,518.13,4.16544303797469,No gas,0
312.5,774.59,519.21,4.16594936708861,No gas,0
312.7,774.59,519.21,4.16645569620253,No gas,0
312.4,775.8,519.21,4.16645569620253,No gas,0
314.07,775.19,518.67,4.16645569620253,No gas,0
313.09,775.8,518.67,4.16645569620253,No gas,0
312.4,778.21,518.13,4.16632911392405,No gas,0
312.4,775.8,519.48,4.16620253164557,No gas,0
312.5,775.8,518.67,4.16518987341772,No gas,0
312.6,775.8,519.48,4.16417721518988,No gas,0
312.4,775.19,518.94,4.16443037974684,No gas,0
312.6,776.4,519.21,4.1646835443038,No gas,0
312.5,774.59,518.67,4.16493670886076,No gas,0
312.99,776.4,519.21,4.16594936708861,No gas,0
312.11,775.8,517.87,4.16696202531646,No gas,0
312.5,775.8,518.67,4.16683544303798,No gas,0
312.11,775.19,518.4,4.16670886075949,No gas,0
312.99,775.8,519.21,4.16658227848101,No gas,0
312.21,775.19,519.21,4.16632911392405,No gas,0
312.89,775.8,518.94,4.16607594936709,No gas,0
312.4,774.59,518.13,4.16582278481013,No gas,0
312.5,775.8,518.94,4.16556962025317,No gas,0
312.7,775.19,517.87,4.16569620253165,No gas,0
312.89,775.8,518.94,4.16620253164557,No gas,0
312.3,774.59,518.94,4.1667088607595,No gas,0
312.6,776.4,519.48,4.16708860759494,No gas,0
313.19,775.19,519.21,4.16746835443038,No gas,0
313.28,776.4,519.21,4.16746835443038,No gas,0
312.5,774.59,519.21,4.16746835443038,No gas,0
312.3,776.4,518.67,4.16746835443038,No gas,0
313.38,775.8,518.94,4.1673417721519,No gas,0
313.09,775.8,519.21,4.16721518987342,No gas,0
312.7,774.59,519.75,4.16658227848101,No gas,0
312.3,776.4,519.21,4.16594936708861,No gas,0
313.87,774.59,518.94,4.16607594936709,No gas,0
312.89,777,518.13,4.16620253164557,No gas,0
312.21,774.59,518.94,4.16632911392405,No gas,0
312.6,775.8,519.48,4.16645569620253,No gas,0
