TFSI,NCN,Ni,Fe,Predictor,Gas
313.58,770.42,518.67,4.32544303797468,No gas,0
313.38,769.82,518.94,4.32417721518987,No gas,0
313.58,770.42,518.67,4.32443037974684,No gas,0
313.09,770.42,519.21,4.3246835443038,No gas,0
313.58,770.42,518.67,4.32506329113924,No gas,0
313.38,770.42,518.67,4.32544303797468,No gas,0
313.68,768.64,517.87,4.32683544303797,No gas,0
313.38,771.01,518.67,4.3279746835443,No gas,0
314.76,771.01,518.94,4.32746835443038,No gas,0
313.58,770.42,518.67,4.32708860759494,No gas,0
313.48,769.82,518.67,4.32670886075949,No gas,0
312.99,769.23,518.94,4.32683544303797,No gas,0
313.38,769.82,518.67,4.32696202531645,No gas,0
313.28,771.01,518.94,4.32708860759494,No gas,0
313.38,769.82,518.67,4.3273417721519,No gas,0
313.28,769.82,518.67,4.32708860759494,No gas,0
313.58,770.42,518.67,4.32670886075949,No gas,0
313.48,771.01,518.67,4.32632911392405,No gas,0
312.99,769.82,518.13,4.32594936708861,No gas,0
313.38,771.01,518.4,4.32556962025316,No gas,0
313.48,769.82,518.67,4.32569620253165,No gas,0
313.19,770.42,518.67,4.32582278481013,No gas,0
313.28,770.42,518.67,4.32620253164557,No gas,0
313.68,771.01,518.94,4.32632911392405,No gas,0
313.87,770.42,518.4,4.32645569620253,No gas,0
313.48,771.01,518.4,4.32632911392405,No gas,0
313.48,769.82,518.67,4.32620253164557,No gas,0
313.28,770.42,518.67,4.32683544303797,No gas,0
313.48,770.42,518.67,4.32746835443038,No gas,0
313.48,771.01,518.67,4.32936708860759,No gas,0
311.72,770.42,517.87,4.33101265822784,No gas,0
313.58,770.42,518.94,4.33075949367088,No gas,0
313.38,769.82,518.94,4.33,No gas,0
313.48,769.82,518.67,4.32924050632911,No gas,0
314.47,769.82,518.94,4.32886075949367,No gas,0
313.68,769.82,518.4,4.32848101265823,No gas,0
313.19,771.01,518.67,4.32835443037975,No gas,0
313.09,769.82,518.4,4.32759493670886,No gas,0
313.77,770.42,518.4,4.32645569620253,No gas,0
313.38,769.82,518.94,4.32645569620253,No gas,0
313.48,769.82,518.67,4.32645569620253,No gas,0
312.7,771.01,518.94,4.32658227848102,No gas,0
312.7,770.42,518.4,4.3267088607595,No gas,0
312.89,769.82,518.94,4.32645569620253,No gas,0
313.58,770.42,518.94,4.32607594936709,No gas,0
313.38,770.42,518.4,4.32582278481013,No gas,0
313.38,771.01,518.94,4.32556962025317,No gas,0
314.27,771.6,517.87,4.32531645569621,No gas,0
313.48,769.82,518.94,4.32392405063291,No gas,0
313.68,770.42,518.67,4.32253164556962,No gas,0
313.68,773.99,517.6,4.32278481012658,No gas,0
313.48,769.82,518.67,4.32303797468355,No gas,0
313.48,769.23,519.21,4.32367088607595,No gas,0
313.58,770.42,518.67,4.32379746835443,No gas,0
