TFSI,NCN,Ni,Fe,Predictor,Gas
314.07,766.28,518.4,6.46835443037975,No gas,0
314.17,768.05,518.4,6.46898734177215,No gas,0
314.07,768.64,518.4,6.46886075949367,No gas,0
314.17,766.87,518.67,6.46848101265823,No gas,0
313.77,766.87,518.4,6.46746835443038,No gas,0
314.07,767.46,518.67,6.46569620253165,No gas,0
313.87,766.87,518.13,6.46417721518988,No gas,0
314.27,768.05,518.4,6.46392405063292,No gas,0
314.27,766.87,518.4,6.46392405063292,No gas,0
313.87,767.46,518.4,6.46392405063292,No gas,0
313.97,767.46,518.4,6.4640506329114,No gas,0
313.87,768.05,518.67,6.46303797468355,No gas,0
314.17,766.87,518.4,6.4620253164557,No gas,0
314.17,767.46,518.4,6.46189873417722,No gas,0
313.97,767.46,518.67,6.46265822784811,No gas,0
313.87,766.87,518.13,6.46341772151899,No gas,0
314.66,766.28,517.6,6.46278481012659,No gas,0
314.37,768.05,518.4,6.46253164556963,No gas,0
314.17,766.87,518.4,6.46227848101266,No gas,0
314.17,767.46,518.4,6.46240506329115,No gas,0
313.77,766.87,518.67,6.46227848101266,No gas,0
314.07,767.46,518.13,6.46164556962026,No gas,0
314.17,768.05,518.4,6.46101265822785,No gas,0
314.27,768.05,518.4,6.46037974683545,No gas,0
314.17,766.87,518.4,6.46063291139241,No gas,0
314.17,768.05,518.4,6.46164556962026,No gas,0
314.07,766.28,518.4,6.46265822784811,No gas,0
313.97,768.64,518.94,6.46240506329114,No gas,0
313.68,766.28,518.4,6.46265822784811,No gas,0
314.27,766.87,518.13,6.46291139240507,No gas,0
313.97,766.87,518.13,6.46253164556962,No gas,0
314.47,765.7,518.13,6.46151898734178,No gas,0
313.58,767.46,518.13,6.46050632911393,No gas,0
313.87,768.05,518.13,6.45962025316456,No gas,0
313.97,767.46,518.4,6.46,No gas,0
314.27,767.46,518.4,6.46037974683544,No gas,0
314.17,767.46,518.4,6.46037974683544,No gas,0
314.37,767.46,518.4,6.46037974683544,No gas,0
313.97,766.87,518.4,6.45898734177215,No gas,0
314.17,768.05,518.4,6.45759493670886,No gas,0
314.17,766.87,518.4,6.45620253164557,No gas,0
314.27,767.46,518.4,6.45620253164557,No gas,0
313.97,766.87,518.13,6.45582278481013,No gas,0
313.97,767.46,518.4,6.45544303797468,No gas,0
314.76,766.87,517.33,6.45493670886076,No gas,0
313.97,768.05,518.4,6.45392405063291,No gas,0
314.07,767.46,518.4,6.45291139240506,No gas,0
314.27,767.46,518.4,6.45329113924051,No gas,0
313.97,766.28,518.4,6.45341772151899,No gas,0
314.47,768.64,518.4,6.45354430379747,No gas,0
313.97,767.46,518.4,6.45291139240506,No gas,0
314.17,767.46,518.4,6.45253164556962,No gas,0
313.58,765.7,518.13,6.45215189873418,No gas,0
314.27,767.46,518.4,6.4526582278481,No gas,0
313.87,766.87,518.4,6.45316455696202,No gas,0
314.07,767.46,518.67,6.45341772151899,No gas,0
314.07,766.28,518.13,6.45443037974683,No gas,0
314.47,767.46,518.4,6.45544303797468,No gas,0
314.27,766.87,518.4,6.45430379746835,No gas,0
314.37,768.05,518.67,6.45455696202531,No gas,0
314.37,767.46,518.67,6.45481012658228,No gas,0
314.07,767.46,518.13,6.45455696202531,No gas,0
314.07,767.46,518.4,6.4546835443038,No gas,0
314.17,768.05,518.4,6.45481012658228,No gas,0
313.58,765.7,518.13,6.45506329113924,No gas,0
313.87,767.46,518.4,6.45455696202531,No gas,0
313.97,766.87,518.4,6.45405063291139,No gas,0
314.27,767.46,518.67,6.45240506329114,No gas,0
314.17,766.28,518.13,6.45291139240506,No gas,0
314.17,768.05,518.13,6.45316455696202,No gas,0
313.28,766.28,517.6,6.45518987341772,No gas,0
314.17,767.46,518.4,6.45721518987341,No gas,0
314.17,766.87,518.67,6.45493670886076,No gas,0
313.97,767.46,518.13,6.4526582278481,No gas,0
313.97,766.87,518.4,6.45037974683544,No gas,0
314.27,767.46,518.13,6.4506329113924,No gas,0
314.07,766.28,518.67,6.45151898734177,No gas,0
313.87,766.87,518.94,6.45240506329113,No gas,0
313.97,766.28,518.67,6.45240506329113,No gas,0
313.77,767.46,518.67,6.45177215189873,No gas,0
314.07,766.87,518.4,6.45113924050632,No gas,0
314.17,767.46,518.67,6.45189873417721,No gas,0
314.07,766.87,518.67,6.45202531645569,No gas,0
314.17,767.46,518.13,6.45215189873417,No gas,0
314.07,766.28,518.67,6.45227848101265,No gas,0
313.87,768.05,518.4,6.45215189873417,No gas,0
314.07,766.87,518.4,6.45227848101265,No gas,0
314.37,768.05,518.67,6.45215189873417,No gas,0
314.07,766.28,518.4,6.45202531645569,No gas,0
314.07,766.87,518.4,6.45126582278481,No gas,0
313.87,766.87,518.67,6.45177215189873,No gas,0
313.97,768.05,518.4,6.45227848101265,No gas,0
314.17,766.87,518.13,6.45202531645569,No gas,0
314.07,768.05,518.4,6.45101265822784,No gas,0
314.17,766.28,518.4,6.45,No gas,0
314.37,767.46,518.4,6.45025316455696,No gas,0
314.07,765.7,518.4,6.45025316455696,No gas,0
313.97,767.46,518.4,6.45025316455696,No gas,0
314.27,767.46,518.4,6.45,No gas,0
314.27,767.46,518.13,6.45,No gas,0
313.48,766.28,518.4,6.45,No gas,0
314.07,768.05,518.94,6.45126582278481,No gas,0
313.97,766.87,518.4,6.45253164556962,No gas,0
313.87,767.46,518.13,6.45126582278481,No gas,0
314.07,766.87,518.4,6.45012658227848,No gas,0
314.37,767.46,518.13,6.44898734177215,No gas,0
314.07,766.28,518.4,6.44873417721519,No gas,0
314.27,767.46,518.67,6.44822784810126,No gas,0
313.97,766.87,518.13,6.44772151898734,No gas,0
313.68,769.23,518.13,6.44772151898734,No gas,0
314.07,767.46,518.4,6.44772151898734,No gas,0
313.97,767.46,518.4,6.44772151898734,No gas,0
313.58,769.82,519.48,6.44772151898734,No gas,0
313.77,766.28,518.4,6.44746835443038,No gas,0
314.17,766.28,518.13,6.4473417721519,No gas,0
314.47,767.46,518.13,6.44746835443038,No gas,0
314.07,766.87,518.4,6.44759493670886,No gas,0
314.27,768.64,518.4,6.44759493670886,No gas,0
313.87,766.87,517.87,6.4473417721519,No gas,0
314.37,767.46,518.13,6.44708860759494,No gas,0
313.77,766.87,518.4,6.44670886075949,No gas,0
314.37,768.05,517.87,6.44632911392405,No gas,0
313.87,766.87,518.67,6.44594936708861,No gas,0
314.07,767.46,518.4,6.44594936708861,No gas,0
314.07,766.28,518.4,6.44607594936709,No gas,0
313.97,769.23,518.94,6.44620253164557,No gas,0
313.97,767.46,518.4,6.44582278481013,No gas,0
314.27,766.87,518.13,6.44569620253165,No gas,0
313.97,766.87,517.87,6.44594936708861,No gas,0
314.17,767.46,518.13,6.44632911392405,No gas,0
314.07,766.87,518.4,6.44696202531646,No gas,0
313.97,767.46,518.4,6.44658227848102,No gas,0
314.27,767.46,518.4,6.44594936708861,No gas,0
313.97,768.05,518.4,6.44531645569621,No gas,0
314.17,766.87,518.4,6.44367088607595,No gas,0
314.47,767.46,518.4,6.44113924050633,No gas,0
314.07,766.87,518.4,6.43860759493671,No gas,0
313.77,768.64,518.4,6.43911392405064,No gas,0
314.17,766.28,518.4,6.43835443037975,No gas,0
313.97,767.46,518.67,6.43759493670886,No gas,0
313.97,766.28,518.4,6.43772151898734,No gas,0
